XML,Folder,Mapping,Transformation Count,Complexity,Score,Reason
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,2,Medium,40,"<5 transformations, SQL override, Expression logic"
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,2,Medium,40,"<5 transformations, SQL override, Expression logic"
JEG_SDE_ORA_PBCS_Actual_SM.XML,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,2,Simple,20,"<5 transformations, Expression logic"
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,2,Medium,40,"<5 transformations, SQL override, Expression logic"
JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage,2,Simple,20,"<5 transformations, Expression logic"
JEG_SIL_IPCS_BITimephaseDataBudgetFact.XML,Custom_SILOS_PA,JEG_SIL_IPCS_BItimePhaseDataBudgetFact,6,Complex,100,"5-10 transformations, Lookup exists, SQL override, Expression logic, Router/Filter, Nested/multiple mapplets"
JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F.XML,Custom_SILOS_PBCS,JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F,2,Medium,40,"<5 transformations, SQL override, Expression logic"
SDE_EmployeeHeadCount.XML,Custom_SDE,JEG_SDE_ORA_TRUNCATE_DIM,1,Medium,31,"<5 transformations, SQL override"
SDE_EmployeeHeadCount.XML,Custom_SDE,SDE_EmployeeHeadCount1,22,Complex,95,">10 transformations, Lookup exists, SQL override, Expression logic, Mapplet"
SDE_EmployeeHeadCount.XML,Custom_SDE,SDE_EmployeeHeadCount2,20,Complex,95,">10 transformations, Lookup exists, SQL override, Expression logic, Mapplet"
SDE_ORA_EmployeeDimension.XML,Custom_SDE,SDE_ORA_EmployeeDimension,2,Medium,45,"<5 transformations, Expression logic, Nested/multiple mapplets"
SDE_ORA_ProjectCostLine.XML,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_Elim,2,Medium,45,"<5 transformations, Expression logic, Nested/multiple mapplets"
SDE_ORA_ProjectCostLine.XML,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_Elim_Hub,2,Medium,45,"<5 transformations, Expression logic, Nested/multiple mapplets"
SDE_ORA_ProjectCostLine.XML,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_IC,2,Medium,45,"<5 transformations, Expression logic, Nested/multiple mapplets"
SDE_ORA_ProjectCostLine.XML,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_IC_HUB,2,Medium,45,"<5 transformations, Expression logic, Nested/multiple mapplets"
SDE_ORA_ProjectCostLine.XML,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_NL,2,Medium,45,"<5 transformations, Expression logic, Nested/multiple mapplets"
SDE_ORA_ProjectCostLine.XML,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_TRUNCATE_DIM,1,Medium,31,"<5 transformations, SQL override"
SDE_ORA_ProjectCostLine.XML,Custom_SDE_ORAR1213_Adaptor,SDE_ORA_ProjectCostLineFact,2,Medium,45,"<5 transformations, Expression logic, Nested/multiple mapplets"
SDE_ORA_ProjectCostLine.XML,Custom_SDE_ORAR1213_Adaptor,SDE_ORA_ProjectCostLineFact_PCC,2,Medium,45,"<5 transformations, Expression logic, Nested/multiple mapplets"
SIL_EmployeeDimension.XML,Custom_SIL,SIL_EmployeeDimension,6,Complex,100,"5-10 transformations, Lookup exists, SQL override, Expression logic, Router/Filter, Nested/multiple mapplets"
SIL_EmployeeDimension_SCDUpdate.XML,Custom_SIL,SIL_EmployeeDimension_SCDUpdate,4,Medium,65,"<5 transformations, Lookup exists, SQL override, Expression logic, Router/Filter"
SIL_EmployeeHeadCount.XML,Custom_SIL,SIL_EmployeeHeadCount,10,Complex,100,"5-10 transformations, Lookup exists, SQL override, Expression logic, Router/Filter, Mapplet"
SIL_ProjectCostLine_Fact.XML,Custom_SILOS_PA_Retro,SIL_ProjectCostLine_Fact,7,Complex,100,"5-10 transformations, Lookup exists, SQL override, Expression logic, Router/Filter, Nested/multiple mapplets"
